ÉäÉìÉNID,ãNì_ÉmÅ[ÉhID,èIì_ÉmÅ[ÉhID,åoòHÇÃéÌóﬁ,ãüópäJénéûä‘,ãüópèIóπéûä‘,ãüópäJénì˙,ãüópèIóπì˙,ãüópêßå¿ójì˙,ï˚å¸ê´,í çsêßå¿,óLå¯ïùàı,óLå¯ïùàıà‹ìx,óLå¯ïùàıåoìx,ècífå˘îz1,ècífå˘îz1à‹ìx,ècífå˘îz1åoìx,ècífå˘îz2,â°ífå˘îz,â°ífå˘îzà‹ìx,â°ífå˘îzåoìx,òHñ èÛãµ,íiç∑,íiç∑à‹ìx,íiç∑åoìx,ç≈è¨äKíiíiêî,ç≈ëÂäKíiíiêî,éËÇ∑ÇË,âÆç™ÇÃóLñ≥,äWÇÃÇ»Ç¢çaÅAêÖòHÇÃóLñ≥,ÉoÉXí‚ÇÃóLñ≥,ÉoÉXí‚ÇÃà‹ìx,ÉoÉXí‚ÇÃåoìx,éãäoè·äQé“óUì±ópÉuÉçÉbÉN,ï‚èïé{ê›ÇÃê›íuèÛãµ,ï‚èïé{ê›ÇÃà‹ìx,ï‚èïé{ê›ÇÃåoìx,ÉGÉåÉxÅ[É^Å[éÌï ,ÉGÉåÉxÅ[É^Å[ÇÃà‹ìx,ÉGÉåÉxÅ[É^Å[ÇÃåoìx,êMçÜÇÃóLñ≥,êMçÜÇÃà‹ìx,êMçÜÇÃåoìx,êMçÜéÌï ,ì˙åí ó ,éÂÇ»óòópé“,í ÇËñºèÃÇ‹ÇΩÇÕåç∑ì_ñºèÃ,ÉGÉXÉRÅ[ÉgÉ]Å[Éì,ÉäÉìÉNâÑí∑
00001B000000000309A91FA59A3818C1,00001B000000000309A91FA59A3818C2,00001B000000000309A920259A3818C2,8,05-35,00-24,,,,0,0,3,35.10.24.0102,136.54.22.4674,1,35.10.24.0102,136.54.22.4674,0,1,35.10.24.0102,136.54.22.4674,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A920259A3818C1,00001B000000000309A920259A3818C2,00001B000000000309A920A59A3818C3,12,05-35,00-24,,,,0,0,3,35.10.24.08,136.54.22.4485,0,35.10.24.08,136.54.22.4485,2,0,35.10.24.08,136.54.22.4485,0,0,,,9,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,2.8
00001B000000000309A920A59A3818C1,00001B000000000309A920A59A3818C3,00001B000000000309A920A59A3818C4,8,05-35,00-24,,,,0,0,3,35.10.24.1449,136.54.22.4219,1,35.10.24.1449,136.54.22.4219,0,1,35.10.24.1449,136.54.22.4219,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A920A59A3818C2,00001B000000000309A920A59A3818C4,00001B000000000309A921259A3798C2,12,05-35,00-24,,,,0,0,3,35.10.24.2133,136.54.22.3722,0,35.10.24.2133,136.54.22.3722,2,0,35.10.24.2133,136.54.22.3722,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A921259A3798C1,00001B000000000309A921259A3798C2,00001B000000000309A921259A3718C2,8,05-35,00-24,,,,0,0,3,35.10.24.2774,136.54.22.3136,1,35.10.24.2774,136.54.22.3136,0,1,35.10.24.2774,136.54.22.3136,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A921259A3718C1,00001B000000000309A921259A3718C2,00001B000000000309A921A59A3698C3,12,05-35,00-24,,,,0,0,3,35.10.24.3264,136.54.22.2406,0,35.10.24.3264,136.54.22.2406,2,0,35.10.24.3264,136.54.22.2406,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A91FA59A3E98C2,00001B000000000309A91FA59A3E98C3,00001B000000000309A91EA59A3E98C1,12,05-35,00-24,,,,0,0,3,35.10.23.8445,136.54.23.7848,0,35.10.23.8445,136.54.23.7848,2,0,35.10.23.8445,136.54.23.7848,0,0,,,13,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,4
00001B000000000309A920A59A3E98C1,00001B000000000309A920A59A3E98C2,00001B000000000309A91FA59A3E98C4,12,05-35,00-24,,,,0,0,3,35.10.24.0802,136.54.23.7669,0,35.10.24.0802,136.54.23.7669,2,0,35.10.24.0802,136.54.23.7669,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A921259A3E98C1,00001B000000000309A921259A3E98C2,00001B000000000309A920A59A3E98C2,8,05-35,00-24,,,,0,0,3,35.10.24.1837,136.54.23.7617,1,35.10.24.1837,136.54.23.7617,0,1,35.10.24.1837,136.54.23.7617,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A91FA59A3E98C1,00001B000000000309A91FA59A3E98C4,00001B000000000309A91FA59A3E98C3,8,05-35,00-24,,,,0,0,3,35.10.23.9591,136.54.23.7731,1,35.10.23.9591,136.54.23.7731,0,1,35.10.23.9591,136.54.23.7731,0,0,,,0,0,0,1,0,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A921A59A3E98C2,00001B000000000309A921A59A3E98C3,00001B000000000309A921259A3E98C2,12,05-35,00-24,,,,0,0,3,35.10.24.2659,136.54.23.7702,0,35.10.24.2659,136.54.23.7702,2,0,35.10.24.2659,136.54.23.7702,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A921A59A3E98C1,00001B000000000309A921A59A3E98C4,00001B000000000309A921A59A3E98C3,8,05-35,00-24,,,,0,0,3,35.10.24.3393,136.54.23.7862,1,35.10.24.3393,136.54.23.7862,0,1,35.10.24.3393,136.54.23.7862,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A922259A3F18C1,00001B000000000309A922259A3F18C2,00001B000000000309A921A59A3E98C4,12,05-35,00-24,,,,0,0,3,35.10.24.4051,136.54.23.8426,0,35.10.24.4051,136.54.23.8426,2,0,35.10.24.4051,136.54.23.8426,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A922259A3F98C1,00001B000000000309A922259A3FFFC2,00001B000000000309A922259A3F18C2,8,05-35,00-24,,,,0,0,3,35.10.24.4561,136.54.23.9065,1,35.10.24.4561,136.54.23.9065,0,1,35.10.24.4561,136.54.23.9065,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.2
00001B000000000309A920A59A3D9881,00001B000000000309A920A59A3D9883,00001B000000000309A920A59A3D9884,8,05-35,00-24,,,,0,0,3,35.10.24.1227,136.54.23.5915,1,35.10.24.1227,136.54.23.5915,0,1,35.10.24.1227,136.54.23.5915,0,0,,,0,0,0,1,0,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A921259A3D9881,00001B000000000309A921259A3D9882,00001B000000000309A920A59A3D9883,12,05-35,00-24,,,,0,0,3,35.10.24.2158,136.54.23.583,0,35.10.24.2158,136.54.23.583,2,0,35.10.24.2158,136.54.23.583,0,0,,,13,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,4
00001B000000000309A921A59A3D9881,00001B000000000309A921A59A3D9882,00001B000000000309A921259A3D9882,8,05-35,00-24,,,,0,0,3,35.10.24.2977,136.54.23.5755,1,35.10.24.2977,136.54.23.5755,0,1,35.10.24.2977,136.54.23.5755,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A922259A3D9881,00001B000000000309A922259A3D9882,00001B000000000309A921A59A3D9882,12,05-35,00-24,,,,0,0,3,35.10.24.3872,136.54.23.5673,0,35.10.24.3872,136.54.23.5673,2,0,35.10.24.3872,136.54.23.5673,0,0,,,13,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,4
00001B000000000309A925259A3D1881,00001B000000000309A925259A3D1883,00001B000000000309A925259A3F9883,8,05-35,00-24,,,,0,0,3,35.10.25.0257,136.54.23.6909,1,35.10.25.0257,136.54.23.6909,0,1,35.10.25.0257,136.54.23.6909,0,0,,,0,0,0,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,11
00001B000000000309A92A259A3D1881,00001B000000000309A92A259A3D1882,00001B000000000309A929A59A3D1882,8,05-35,00-24,,,,0,0,3,35.10.25.9839,136.54.23.4058,1,35.10.25.9839,136.54.23.4058,0,1,35.10.25.9839,136.54.23.4058,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A92AA59A3C9882,00001B000000000309A92AA59A3C9883,00001B000000000309A92A259A3D1882,12,05-35,00-24,,,,0,0,3,35.10.26.0729,136.54.23.392,0,35.10.26.0729,136.54.23.392,2,0,35.10.26.0729,136.54.23.392,0,0,,,13,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,4
00001B000000000309A92AA59A3C9881,00001B000000000309A92AA59A3C9884,00001B000000000309A92AA59A3C9883,8,05-35,00-24,,,,0,0,3,35.10.26.1602,136.54.23.3784,1,35.10.26.1602,136.54.23.3784,0,1,35.10.26.1602,136.54.23.3784,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A92BA59A3C9883,00001B000000000309A92BA59A3C9884,00001B000000000309A92AA59A3C9884,12,05-35,00-24,,,,0,0,3,35.10.26.2459,136.54.23.3651,0,35.10.26.2459,136.54.23.3651,2,0,35.10.26.2459,136.54.23.3651,0,0,,,12,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.7
00001B000000000309A92D259A3C1881,00001B000000000309A92D259A3C1883,00001B000000000309A92BA59A3D98C2,8,05-35,00-24,,,,0,0,3,35.10.26.405,136.54.23.5153,1,35.10.26.405,136.54.23.5153,0,1,35.10.26.405,136.54.23.5153,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,7.8
00001B000000000309A92BA59A3D98C1,00001B000000000309A92BA59A3D98C2,00001B000000000309A92B259A3D98C2,12,05-35,00-24,,,,0,0,3,35.10.26.3053,136.54.23.5263,0,35.10.26.3053,136.54.23.5263,2,0,35.10.26.3053,136.54.23.5263,0,0,,,13,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,4
00001B000000000309A92B259A3D98C1,00001B000000000309A92B259A3D98C2,00001B000000000309A92AA59A3D98C2,8,05-35,00-24,,,,0,0,3,35.10.26.2113,136.54.23.5368,1,35.10.26.2113,136.54.23.5368,0,1,35.10.26.2113,136.54.23.5368,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A92AA59A3D98C1,00001B000000000309A92AA59A3D98C2,00001B000000000309A92A259A3D98C3,12,05-35,00-24,,,,0,0,3,35.10.26.1301,136.54.23.5458,0,35.10.26.1301,136.54.23.5458,2,0,35.10.26.1301,136.54.23.5458,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A92A259A3D98C1,00001B000000000309A92A259A3D98C3,00001B000000000309A92A259A3D98C4,8,05-35,00-24,,,,0,0,3,35.10.26.0538,136.54.23.557,1,35.10.26.0538,136.54.23.557,0,1,35.10.26.0538,136.54.23.557,0,0,,,0,0,0,1,0,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A92A259A3D98C2,00001B000000000309A92A259A3D98C4,00001B000000000309A929A59A3E18C2,12,05-35,00-24,,,,0,0,3,35.10.25.9728,136.54.23.5804,0,35.10.25.9728,136.54.23.5804,2,0,35.10.25.9728,136.54.23.5804,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A929A59A3E18C1,00001B000000000309A929A59A3E18C2,00001B000000000309A929259A3E18C2,8,05-35,00-24,,,,0,0,3,35.10.25.9082,136.54.23.6327,1,35.10.25.9082,136.54.23.6327,0,1,35.10.25.9082,136.54.23.6327,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.5
00001B000000000309A929259A3E18C1,00001B000000000309A929259A3E18C2,00001B000000000309A929259A3E98C2,12,05-35,00-24,,,,0,0,3,35.10.25.8553,136.54.23.7032,0,35.10.25.8553,136.54.23.7032,2,0,35.10.25.8553,136.54.23.7032,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A92B259A371881,00001B000000000309A92B259A371882,00001B000000000309A92D259A3C1883,8,05-35,00-24,,,,0,0,3,35.10.26.4556,136.54.22.2391,1,35.10.26.4556,136.54.22.2391,0,1,35.10.26.4556,136.54.22.2391,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,29.5
00001B000000000309A926259A3F9881,00001B000000000309A926259A3F9883,00001B000000000309A927259A3E9881,8,05-35,00-24,,,,0,0,2,35.10.25.417,136.54.23.7252,1,35.10.25.417,136.54.23.7252,0,1,35.10.25.417,136.54.23.7252,0,0,,,0,0,0,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,8.5
00001B000000000309A92D259A3C1882,00001B000000000309A92D259A3C1883,00001B000000000309A92BA59A3C9885,8,05-35,00-24,,,,0,0,3,35.10.26.5583,136.54.23.2764,1,35.10.26.5583,136.54.23.2764,0,1,35.10.26.5583,136.54.23.2764,0,0,,,0,0,3,1,0,0,,,1,0,,,0,,,0,,,,0,0,,0,8
00001B000000000309A92BA59A3C9881,00001B000000000309A92BA59A3C9885,00001B000000000309A92B259A3C1882,8,05-35,00-24,,,,0,0,1,35.10.26.2967,136.54.23.2835,1,35.10.26.2967,136.54.23.2835,0,1,35.10.26.2967,136.54.23.2835,0,0,,,0,0,2,1,0,0,,,1,0,,,0,,,0,,,,0,0,,0,2.3
00001B000000000309A92BA59A3C9882,00001B000000000309A92BA59A3C9885,00001B000000000309A92BA59A3C9884,8,05-35,00-24,,,,0,0,3,35.10.26.3229,136.54.23.3351,1,35.10.26.3229,136.54.23.3351,0,1,35.10.26.3229,136.54.23.3351,0,0,,,0,0,1,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,2.5
00001B000000000309A929A59A3D1881,00001B000000000309A929A59A3D1882,00001B000000000309A928A59A3D1881,12,05-35,00-24,,,,0,0,3,35.10.25.8875,136.54.23.4208,0,35.10.25.8875,136.54.23.4208,2,0,35.10.25.8875,136.54.23.4208,0,0,,,13,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,4
00001B000000000309A92B259A3C1881,00001B000000000309A92B259A3C1882,00001B000000000309A928A59A3C9882,11,05-35,00-24,,,,0,0,1,35.10.26.0057,136.54.23.2969,0,35.10.26.0057,136.54.23.2969,0,0,35.10.26.0057,136.54.23.2969,0,0,,,0,0,0,1,0,0,,,0,0,,,0,,,0,,,,0,0,,0,16
00001B000000000309A928A59A3C9881,00001B000000000309A928A59A3C9882,00001B000000000309A928259A3D1883,8,05-35,00-24,,,,0,0,1,35.10.25.704,136.54.23.3807,2,35.10.25.704,136.54.23.3807,0,1,35.10.25.704,136.54.23.3807,0,0,,,0,0,2,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,3
00001B000000000309A928259A3D1881,00001B000000000309A928259A3D1883,00001B000000000309A928A59A3D1881,8,05-35,00-24,,,,0,0,3,35.10.25.732,136.54.23.4304,1,35.10.25.732,136.54.23.4304,0,1,35.10.25.732,136.54.23.4304,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,5
00001B000000000309A922A59A3D9881,00001B000000000309A922A59A3D9883,00001B000000000309A922259A3D1882,8,05-35,00-24,,,,0,0,1,35.10.24.5186,136.54.23.4802,2,35.10.24.5186,136.54.23.4802,0,1,35.10.24.5186,136.54.23.4802,0,0,,,0,0,1,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,2.8
00001B000000000309A922A59A3D9882,00001B000000000309A922A59A3D9883,00001B000000000309A922259A3D9882,8,05-35,00-24,,,,0,0,3,35.10.24.5011,136.54.23.5416,2,35.10.24.5011,136.54.23.5416,0,1,35.10.24.5011,136.54.23.5416,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,4.8
00001B000000000309A920A59A3D9882,00001B000000000309A920A59A3D9884,00001B000000000309A91FA59A3E1881,12,05-35,00-24,,,,0,0,3,35.10.24.0494,136.54.23.5982,0,35.10.24.0494,136.54.23.5982,2,0,35.10.24.0494,136.54.23.5982,0,0,,,12,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.7
00001B000000000309A922259A3D1881,00001B000000000309A922259A3D1882,00001B000000000309A91FA59A3D9882,11,05-35,00-24,,,,0,0,1,35.10.24.2338,136.54.23.4728,0,35.10.24.2338,136.54.23.4728,0,0,35.10.24.2338,136.54.23.4728,0,0,,,0,0,0,1,0,0,,,0,0,,,0,,,0,,,,0,0,,0,16
00001B000000000309A91FA59A3D9881,00001B000000000309A91FA59A3D9882,00001B000000000309A91F259A3D9883,8,05-35,00-24,,,,0,0,1,35.10.23.9154,136.54.23.5341,1,35.10.23.9154,136.54.23.5341,0,1,35.10.23.9154,136.54.23.5341,0,0,,,0,0,1,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,2.3
00001B000000000309A91F259A3D9881,00001B000000000309A91F259A3D9883,00001B000000000309A91FA59A3E1881,8,05-35,00-24,,,,0,0,3,35.10.23.9363,136.54.23.586,1,35.10.23.9363,136.54.23.586,0,1,35.10.23.9363,136.54.23.586,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,2.5
00001B000000000309A926259A3F9882,00001B000000000309A926259A3F9883,00001B000000000309A926A59A3F1881,8,05-35,00-24,,,,0,0,1,35.10.25.3355,136.54.23.8948,1,35.10.25.3355,136.54.23.8948,0,1,35.10.25.3355,136.54.23.8948,0,0,,,0,0,0,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.7
00001B000000000309A91E259A3D9881,00001B000000000309A91E259A3D9882,00001B000000000309A91F259A3818C2,8,05-35,00-24,,,,0,0,3,35.10.23.6672,136.54.22.5092,1,35.10.23.6672,136.54.22.5092,0,1,35.10.23.6672,136.54.22.5092,0,0,,,0,0,0,1,0,0,,,1,0,,,0,,,0,,,,0,0,,0,30.5
00001B000000000309A91F259A3D9882,00001B000000000309A91F259A3D9883,00001B000000000309A91E259A3D9882,8,05-35,00-24,,,,0,0,3,35.10.23.7787,136.54.23.5769,1,35.10.23.7787,136.54.23.5769,0,1,35.10.23.7787,136.54.23.5769,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,7
00001B000000000309A928259A3D1882,00001B000000000309A928259A3D1883,00001B000000000309A925259A3D1883,8,05-35,00-24,,,,0,0,3,35.10.25.341,136.54.23.4519,1,35.10.25.341,136.54.23.4519,0,1,35.10.25.341,136.54.23.4519,0,0,,,0,0,0,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,21
00001B000000000309A925259A3D1882,00001B000000000309A925259A3D1883,00001B000000000309A922A59A3D9883,8,05-35,00-24,,,,0,0,3,35.10.24.8019,136.54.23.4989,1,35.10.24.8019,136.54.23.4989,0,1,35.10.24.8019,136.54.23.4989,0,0,,,0,0,0,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,14
00001B000000000309A925259A3F9882,00001B000000000309A925259A3F9883,00001B000000000309A925259A401881,8,05-35,00-24,,,,0,0,0,35.10.25.0424,136.54.23.9802,1,35.10.25.0424,136.54.23.9802,0,1,35.10.25.0424,136.54.23.9802,0,0,,,0,0,0,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,3
00001B000000000309A91EA59A3E9881,00001B000000000309A91EA59A3E98C1,00001B000000000309A91E259A3D9882,8,05-35,00-24,,,,0,0,3,35.10.23.7227,136.54.23.799,1,35.10.23.7227,136.54.23.799,0,1,35.10.23.7227,136.54.23.799,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,7.3
00001B000000000309A921A59A3698C1,00001B000000000309A921A59A3698C3,00001B000000000309A921A59A3698C2,8,05-35,00-24,,,,0,0,3,35.10.24.3675,136.54.22.1678,1,35.10.24.3675,136.54.22.1678,0,1,35.10.24.3675,136.54.22.1678,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.2
00001B000000000309A92A259A3718C2,00001B000000000309A92A259A3718C4,00001B000000000309A92B259A371882,12,05-35,00-24,,,,0,0,3,35.10.26.1422,136.54.22.2548,0,35.10.26.1422,136.54.22.2548,2,0,35.10.26.1422,136.54.22.2548,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A929259A3E98C1,00001B000000000309A929259A3E98C2,00001B000000000309A929259A3EFFC2,8,05-35,00-24,,,,0,0,3,35.10.25.8136,136.54.23.7767,1,35.10.25.8136,136.54.23.7767,0,1,35.10.25.8136,136.54.23.7767,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.2
00001B000000000309A8DDA599DB18C1,00001B000000000309A8DDA599DB7FC2,00001B000000000309A8DDA599DA98C2,8,7åé30ì˙,20-30,,,,0,0,2,35.10.10.7231,136.54.3.8024,1,35.10.10.7231,136.54.3.8024,0,1,35.10.10.7231,136.54.3.8024,0,0,,,0,0,0,1,0,0,,,0,0,,,0,,,0,,,,0,0,ïöå©ínâ∫äX,0,0.8
00001B000000000309A8DDA599DA98C1,00001B000000000309A8DDA599DA98C2,00001B000000000309A8DDA599DA18C3,12,7åé30ì˙,20-30,,,,0,0,2,35.10.10.7195,136.54.3.7434,0,35.10.10.7195,136.54.3.7434,2,0,35.10.10.7195,136.54.3.7434,0,0,,,18,0,1,1,0,0,,,0,0,,,0,,,0,,,,0,0,ïöå©ínâ∫äX,0,6.3
00001B000000000309A8DDA599DA18C1,00001B000000000309A8DDA599DA18C3,00001B000000000309A8DDA599DA18C4,8,7åé30ì˙,20-30,,,,0,0,2,35.10.10.7161,136.54.3.6867,1,35.10.10.7161,136.54.3.6867,0,1,35.10.10.7161,136.54.3.6867,0,0,,,0,0,0,1,1,0,,,0,0,,,0,,,0,,,,0,0,ïöå©ínâ∫äX,0,1.1
